Index,Title,Artist,Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
1,Sunrise,Norah Jones,adult standards,2004,157,30,53,-14,11,68,201,94,3,71
2,BlackNight,Deep Purple,album rock,2000,135,79,50,-11,17,81,207,17,7,39
3,ClintEastwood,Gorillaz,alternative hip hop,2001,168,69,66,-9,7,52,341,2,17,69
4,ThePretender,Foo Fighters,alternative metal,2007,173,96,43,-4,3,37,269,0,4,76
5,WaitinOnASunnyDay,Bruce Springsteen,classic rock,2002,106,82,58,-5,10,87,256,1,3,59
6,TheRoadAheadMilesOfTheUnknown,City To City,alternative pop rock,2004,99,46,54,-9,14,14,247,0,2,45
7,SheWillBeLoved,Maroon 5,pop,2002,102,71,71,-6,13,54,257,6,3,74
8,KnightsofCydonia,Muse,modern rock,2006,137,96,37,-5,12,21,366,0,14,69
9,MrBrightside,The Killers,modern rock,2004,148,92,36,-4,10,23,223,0,8,77
10,WithoutMe,Eminem,detroit hip hop,2002,112,67,91,-3,24,66,290,0,7,82
11,LoveMeTender,Elvis Presley,adult standards,2002,109,5,44,-16,11,31,162,88,4,49
12,SevenNationArmy,The White Stripes,alternative rock,2003,124,46,74,-8,26,32,232,1,8,74
13,AlsHetGolft,De Dijk,dutch indie,2000,102,88,54,-6,53,59,214,2,3,34
14,Imgoinghome,Ten Years After,album rock,2005,117,93,38,-2,81,40,639,18,10,26
15,FluorescentAdolescent,Arctic Monkeys,garage rock,2007,112,81,65,-5,14,82,173,0,3,66
16,ZonderJou,Paul de Leeuw,dutch cabaret,2006,133,42,42,-10,16,25,236,84,4,48
17,SpeedofSound,Coldplay,permanent wave,2005,123,90,52,-7,7,36,288,0,6,69
18,Uninvited,Alanis Morissette,alternative rock,2005,127,54,38,-5,9,19,276,2,3,57
19,Music,John Miles,classic uk pop,2004,87,31,27,-13,63,12,352,1,3,46
20,CryMeaRiver,Justin Timberlake,dance pop,2002,74,65,62,-7,10,56,288,57,18,74
21,FixYou,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,81
22,TheCave,Mumford & Sons,modern folk rock,2009,142,51,60,-10,11,35,218,5,4,67
23,AlsDeMorgenIsGekomen,Jan Smit,dutch pop,2006,96,89,63,-6,9,81,176,5,3,55
24,SomebodyToldMe,The Killers,modern rock,2004,138,99,51,-3,12,65,197,0,9,69
25,DichterbijDanOoit,BLØF,dutch pop,2002,112,74,65,-7,23,52,261,18,3,16
26,Miracle,Ilse DeLange,dutch americana,2008,130,48,55,-8,10,18,270,48,3,50
27,SmokersOutsidetheHospitalDoors,Editors,alternative dance,2007,123,68,53,-4,12,55,298,0,4,56
28,CleaninOutMyCloset,Eminem,detroit hip hop,2002,148,76,91,-5,8,87,298,7,17,71
29,DerWeg,Herbert Grönemeyer,german pop,2008,142,24,34,-11,12,19,259,92,4,48
30,SecondsfeatNenehCherry,Youssou N  Dour,afropop,2004,154,70,68,-10,33,51,306,8,3,59
31,TheScientist,Coldplay,permanent wave,2002,146,44,56,-7,11,21,310,73,2,84
32,BigLogRemaster,Robert Plant,album rock,2007,181,59,56,-9,20,68,306,32,3,57
33,ChasingPavements,Adele,british soul,2008,80,47,62,-6,11,33,211,31,3,63
34,DontKnowWhy,Norah Jones,adult standards,2002,88,20,73,-12,7,62,186,88,3,74
35,TearsDryOnTheirOwn,Amy Winehouse,british soul,2006,122,87,64,-3,29,45,185,49,12,72
36,TheEyesofJenny,Sandy Coast,classic uk pop,2009,119,53,68,-12,8,68,264,34,4,44
37,Iris,The Goo Goo Dolls,alternative rock,2007,156,79,29,-6,8,51,290,0,4,75
38,TheSaintsAreComing,U2,irish rock,2006,152,81,32,-7,15,12,202,8,5,40
39,AllMyLife,Foo Fighters,alternative metal,2002,168,60,58,-6,48,65,263,0,5,72
40,DeWeg,Guus Meeuwis,dutch pop,2005,72,21,46,-11,11,26,266,91,3,42
41,DontLetMeBeMisunderstood,Santa Esmeralda,disco,2003,118,82,67,-9,5,78,629,3,8,59
42,TrafficRadioEdit,Tiësto,big room,2009,138,64,71,-10,19,10,177,0,9,53
43,TakeMeOut,Franz Ferdinand,alternative rock,2004,105,68,28,-9,14,49,237,0,4,74
44,AmericanIdiot,Green Day,modern rock,2004,186,99,38,-2,37,77,176,0,6,78
45,BreakingtheHabit,Linkin Park,alternative metal,2003,100,85,58,-5,9,58,197,11,3,65
46,ComeUndone,Robbie Williams,dance pop,2002,168,57,38,-5,35,26,278,4,3,56
47,SweetJane,Lou Reed,art rock,2008,115,46,83,-10,70,88,331,48,6,43
48,Run,Snow Patrol,irish rock,2004,75,64,37,-6,17,20,355,0,3,65
49,YoureTheFirstTheLastMyEverything,Barry White,adult standards,2009,131,72,64,-7,14,80,213,1,4,67
50,TheDayAfterTomorrow,Saybia,danish pop rock,2005,76,77,46,-5,14,35,234,1,3,51
51,JustBreathe,Pearl Jam,alternative rock,2009,108,35,47,-11,8,28,216,72,3,69
52,DansenAanZee,BLØF,dutch pop,2000,194,43,35,-11,10,26,275,16,3,52
53,GoodbyeMyLover,James Blunt,neo mellow,2005,90,26,43,-13,9,27,259,95,5,69
54,TheUnforgivenIII,Metallica,alternative metal,2008,122,77,30,-3,12,9,467,0,3,52
55,Hurt,Christina Aguilera,dance pop,2006,149,30,33,-7,11,14,243,78,3,67
56,GroundsforDivorce,Elbow,britpop,2009,92,76,52,-5,57,63,219,42,3,43
57,SometimesYouCantMakeItOnYourOwn,U2,irish rock,2004,96,60,53,-6,11,35,305,0,2,57
58,ListenFromtheMotionPictureDreamgirls,Beyoncé,dance pop,2006,123,59,48,-5,18,20,218,27,5,44
59,IWantItThatWay,Backstreet Boys,boy band,2001,99,70,69,-6,16,48,214,22,3,77
60,GoinToTheRun,Golden Earring,album rock,2008,124,59,47,-8,28,18,236,42,3,38
